"2020-05-29 13:20:37",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001338,"5200|19"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001344,"5200|20"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001350,"5200|21|l|4"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001352,"5200|8"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001358,"5200|10"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001373,"5300|33|s|4"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001375,"5300|35"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001381,"5300|36|s|3"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001383,"5300|15"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001389,"5300|17|s|2"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001391,"5300|27"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001397,"5300|28|s|3"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001399,"5300|9"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001405,"5300|30"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001411,"5300|19"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001417,"5300|21"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001423,"5300|5"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001429,"5300|11|s|2"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001431,"5300|10"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001437,"5300|26|s|3"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001439,"5300|37"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001445,"5300|4"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001499,"4000|6"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001525,"4100|3"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001531,"4100|4"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001537,"4100|6"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001543,"4100|7"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001549,"4100|45"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001555,"4100|14"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001561,"4100|17"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001567,"4100|18|m|2"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001569,"4100|19"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001575,"4100|22"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001581,"4100|23|s|2"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001583,"4100|26"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001589,"4100|48"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001595,"4100|28"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001601,"4100|31"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001607,"4100|32|m|1"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001609,"4100|58"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001615,"4100|49|m|2"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001617,"4100|35|m|3"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001619,"4100|52"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001625,"4100|37"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001631,"4100|42"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001637,"4100|41"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001643,"4100|5"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001649,"4100|12|m|3"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001651,"4100|10"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001657,"4100|9"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001663,"4100|11"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001669,"4100|55"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001675,"4100|15|m|2"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001677,"4100|46"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001682,"4100|54"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001688,"4100|57"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001694,"4100|25"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001700,"4100|56"
